Año,Trimestre,512kbps,512kbps-1mbps,1mbps-6mbps,6mbps-10mbps,10mbps-20mbps,20mbps-30mbps,30mbps,OTROS,Total,Mbps (Media de bajada)
2023,4,29708,71742,900253,978108,697232,350290,8224736,295592,11547661,139.04
2023,3,30274,80609,945608,998725,720084,350918,8003269,277421,11406908,129.67
2023,2,30827,79405,963510,1028250,734125,364730,7775095,275955,11251897,123.95
2023,1,31437,82048,1001553,1060321,729194,357769,7564819,414754,11241895,110.5
2022,4,31981,85668,1075272,1109421,765015,335573,7410902,394282,11208114,106.56
2022,3,33013,96727,1161370,1151906,823505,479822,6995750,349035,11091128,62.46
2022,2,33667,99498,1193090,1197030,856562,485321,6741922,351594,10958684,58.44
2022,1,34890,104840,1263273,1209148,967508,509830,6336187,198333,10624009,55.11
2021,4,41262,28521,1413208,1245333,976539,558358,6032322,194251,10489794,52.34
2021,3,40174,41437,2550229,1095772,710122,536364,4948174,163269,10085541,48.46
2021,2,40172,42024,2531271,1080279,693277,647401,4661291,167369,9863084,45.63
2021,1,39487,41674,2593477,1072722,737930,595920,4379965,186797,9647972,43.11
2020,4,39510,42185,2622638,1073875,786595,582420,4239237,185102,9571562,42.36
2020,3,41038,44005,2637984,1040017,799350,538567,4053461,201777,9356199,40.67
2020,2,41038,48690,2651502,1053107,807775,523437,3711499,194008,9031056,38.32
2020,1,42550,56170,2649819,1022014,814470,532309,3500882,194212,8812426,37.52
2019,4,38272,28980,2792307,1046128,851619,1004083,2830746,201046,8793181,28.26
2019,3,241713,80599,3309137,1026859,806466,1141545,2314898,243467,9164684,24.18
2019,2,202790,95980,3444458,871142,1169632,1250366,1677830,247983,8960181,20.33
2019,1,166573,195706,3428759,882836,1464748,1244215,1138728,126570,8648135,17.38
2018,4,138740,201196,3337982,882388,1472634,1688748,599579,152388,8473655,15.95
2018,3,5675,220589,3401277,859413,1607137,1571692,524777,156475,8347035,15.36
2018,2,5972,219467,3316868,979416,1905839,1000036,444391,238455,8110444,13.8495399422441
2018,1,7309,215406,3272724,976956,2068087,862010,397977,236584,8037053,13.221339833489
2017,4,15041,221474,3773159,1005545,1730353,631946,337559,155145,7870222,12.0076260812107
2017,3,19022,217997,4062226,1062810,1592304,353480,245790,0,7553629,8.33904815764714
2017,2,22366,222766,4416065,990281,1342000,231604,98635,0,7323717,7.15995552367739
2017,1,20653,230159,4584534,975027,1129987,210668,47990,0,7199018,6.62407908134137
2016,4,20724,233398,4673339,971094,1038029,169522,38590,0,7144696,6.33738413446842
2016,3,20104,294413,4816081,936533,919208,124564,31022,0,7141925,5.9387765869846
2016,2,44008,384221,5058481,796998,785759,73977,29020,0,7172464,5.42353097512933
2016,1,30428,404810,4944358,762999,641646,27664,23380,0,6835285,5.08370177629755
2015,4,34243,427394,5049640,726740,639011,17568,22170,0,6916766,4.99044890054109
2015,3,35030,455777,5087802,701187,539414,13101,20677,0,6852988,4.78891116867562
2015,2,40723,500175,5138431,645440,432762,10045,18529,0,6786105,4.54538147818226
2015,1,41158,516919,5121423,571620,348102,7643,16347,0,6623212,4.35027886167618
2014,4,44075,554749,5084556,496251,276254,4371,15229,0,6475485,4.15688796190556
2014,3,37430,608018,5153437,373372,182483,507,12424,0,6367671,3.86726501227843
2014,2,41064,656408,5149574,341689,147273,478,12259,0,6348745,3.75871218894443
2014,1,52684,687619,5130294,289182,101127,345,11595,0,6272846,3.6171267670209
